"state","decision","correct","count","winning_prob"
"721","1,2",32,61,0.52
"722","1,2",3,13,0.23
"73","1,2",1106,2158,0.51
"731","1,2",142,289,0.49
"732","1,2",84,175,0.48
"733","1,2",48,108,0.44
"74","1,2",13,25,0.52
"741","1,2",962,1262,0.76
"742","1,2",10,35,0.29
"743","1,2",112,356,0.31
"75","1,2",171,275,0.62
"751","1,2",368,731,0.5
"752","1,2",256,448,0.57
"753","1,2",1277,2608,0.49
"31","1,3",4082,4082,1
"311","1,3",0,276,0
"32","1,3",0,1510,0
"321","1,3",473,1660,0.28
"322","1,3",203,272,0.75
"33","1,3",229,801,0.29
"331","1,3",67,178,0.38
"332","1,3",47,90,0.52
"333","1,3",19,36,0.53
"4","1,3",930,930,1
"41","1,3",0,234,0
"411","1,3",353,353,1
"42","1,3",84,219,0.38
"421","1,3",36,107,0.34
"422","1,3",12,30,0.4
"43","1,3",122,387,0.32
"431","1,3",62,152,0.41
